1 36
47 33
50 37
110 37
231 24
260 44
296 50
316 25
356 57
367 27
457 33
480 37
527 34
590 33
592 35
593 45
608 29
648 30
780 34
1196 37
1198 36
1210 37
1214 27
1265 24
1270 31
1580 30
2028 35
2571 46
2858 27
2959 29
3578 31
3793 24
318 56
1704 25
58559 27
79132 26
32 30
588 34
595 24
2762 26
4226 28
150 36
153 26
344 27
364 29
380 32
589 40
165 31
924 24
4993 30
5952 29
858 33
1036 30
377 28
1200 25
293 24
7153 28
357 24
1291 24
4306 27
[1, 356] 26
[47, 296] 28
[47, 356] 29
[47, 593] 24
[50, 296] 30
[50, 356] 26
[50, 593] 28
[110, 296] 28
[110, 356] 31
[110, 457] 24
[110, 590] 25
[110, 593] 25
[260, 296] 25
[260, 356] 28
[260, 780] 26
[260, 1196] 36
[260, 1198] 30
[260, 1210] 33
[260, 2571] 34
[296, 356] 41
[296, 457] 28
[296, 590] 26
[296, 592] 29
[296, 593] 34
[296, 608] 24
[296, 1198] 24
[296, 2571] 29
[356, 457] 27
[356, 480] 33
[356, 590] 29
[356, 592] 27
[356, 593] 36
[356, 780] 26
[356, 1196] 26
[356, 1198] 24
[356, 1210] 27
[356, 1580] 25
[356, 2028] 27
[356, 2571] 32
[356, 2959] 26
[457, 592] 24
[457, 593] 25
[590, 592] 24
[590, 593] 24
[593, 2571] 26
[780, 1210] 24
[1196, 1198] 28
[1196, 1210] 30
[1196, 2571] 31
[1198, 2571] 30
[1210, 2571] 30
[1580, 2571] 24
[2028, 2571] 27
[2571, 2959] 26
[2571, 3578] 25
[32, 296] 24
[296, 588] 24
[50, 318] 28
[110, 318] 31
[150, 296] 27
[150, 318] 29
[296, 318] 37
[296, 380] 25
[318, 457] 25
[318, 527] 26
[318, 590] 26
[318, 592] 24
[380, 592] 24
[150, 356] 29
[165, 356] 26
[318, 356] 43
[318, 593] 33
[356, 380] 26
[356, 589] 30
[589, 1210] 26
[4993, 5952] 25
[318, 2571] 26
[260, 589] 28
[260, 593] 25
[589, 1196] 25
[356, 364] 24
[356, 588] 26
[1198, 1210] 24
[47, 318] 24
[110, 480] 27
[110, 589] 26
[296, 480] 26
[296, 589] 28
[318, 480] 25
[318, 589] 26
[480, 589] 28
[480, 590] 24
[480, 593] 24
[110, 367] 24
[367, 480] 24
[1, 260] 26
[260, 480] 25
[356, 1270] 27
[589, 2571] 28
[858, 2571] 24
[4993, 7153] 25
[47, 296, 356] 26
[50, 296, 356] 25
[50, 296, 593] 24
[110, 296, 356] 25
[260, 356, 1196] 26
[260, 1196, 2571] 31
[260, 1196, 1198] 27
[260, 1196, 1210] 30
[260, 1198, 2571] 27
[296, 356, 593] 31
[296, 356, 2571] 26
[296, 356, 457] 24
[296, 356, 590] 24
[296, 356, 592] 24
[356, 2571, 2959] 24
[1196, 1198, 2571] 24
[110, 296, 318] 24
[110, 318, 356] 27
[150, 318, 356] 25
[296, 318, 593] 27
[296, 318, 356] 33
[318, 356, 593] 29
[260, 589, 1196] 25
[260, 356, 1210] 24
[260, 356, 2571] 24
[260, 1198, 1210] 24
[260, 1210, 2571] 28
[318, 356, 2571] 24
[356, 1196, 1210] 24
[1196, 1210, 2571] 27
[47, 318, 356] 24
[110, 356, 480] 25
[296, 356, 480] 25
[296, 356, 589] 25
[318, 356, 480] 25
[318, 356, 589] 24
[356, 480, 589] 24
[356, 480, 590] 24
[260, 589, 1210] 24
[260, 589, 2571] 25
